Team,WP,OWP,DOWP,OOWP,DOOWP,Division,Sectional,Seed,Year
Mellen,0.66667,0.48127,0.47712,0.49605,0.49606,5,1A,6,2023
Melrose-Mindoro,0.47826,0.48804,0.5,0.49961,0.50034,4,3A,7,2023
Menasha,0.6,0.51566,0.49387,0.51751,0.51201,2,2A,5,2023
Menominee Indian,0.52381,0.4903,0.5283,0.52328,0.52663,4,2B,7,2023
Menomonee Falls,0.7,0.49858,0.47386,0.55238,0.55492,1,2A,6,2023
Menomonie,0.63636,0.52567,0.52035,0.54136,0.54743,2,1A,1,2023
Mercer,0.40909,0.47241,0.47241,0.49106,0.4898,5,1A,8,2023
Merrill,0.56522,0.49877,0.48564,0.51303,0.51253,2,1B,3,2023
Middleton,0.59091,0.47853,0.48684,0.53292,0.5287,1,3A,8,2023
Milton,0.26087,0.50337,0.50337,0.52962,0.52962,2,3A,9,2023
Milw Pulaski Co-op,0.66667,0.43919,0.44,0.4606,0.45924,1,4A,6,2023
Milwaukee Academy of Science,0.85714,0.51474,0.46377,0.52595,0.51768,3,4A,3,2023
Milwaukee Bay View,0.52632,0.51818,0.5,0.46053,0.43577,2,4B,7,2023
Milwaukee Bradley/Milw. Arts,0.27778,0.46,0.52308,0.45893,0.45312,1,3A,15,2023
Milwaukee Hamilton/Audubon,0.10526,0.3539,0.39924,0.46795,0.4666,1,4A,16,2023
Milwaukee King,0.68182,0.4451,0.4254,0.50656,0.50491,1,2A,13,2023
Milwaukee Lutheran,0.09524,0.52033,0.52318,0.50478,0.5115,2,4A,10,2023
Milwaukee Madison,0.23529,0.42857,0.42857,0.45204,0.45204,2,2B,9,2023
Milwaukee Marshall/Young Coggs,0.11111,0.42188,0.40909,0.44845,0.46136,2,4A,9,2023
Milwaukee North,0.86667,0.40845,0.36585,0.45137,0.44409,3,4A,4,2023
Milwaukee Reagan,0.47619,0.5241,0.51768,0.47941,0.48031,1,4A,10,2023
Milwaukee Riverside,0.19048,0.49682,0.52921,0.47933,0.47812,1,2A,16,2023
Milwaukee School of Languages,0.55,0.4669,0.43233,0.47952,0.47742,3,4A,8,2023
Milwaukee Vincent,0.0,0.43388,0.44344,0.45408,0.45891,2,2B,11,2023
Milwaukee Washington/Fuller Collegiate,0.5,0.38372,0.34802,0.47318,0.46465,2,4A,8,2023
Mineral Point,0.77273,0.5051,0.49865,0.54381,0.54448,4,3B,4,2023
Mishicot,0.71429,0.54178,0.54178,0.54305,0.54305,4,2B,4,2023
Mondovi,0.40909,0.57104,0.5436,0.52471,0.52289,4,1B,8,2023
Monona Grove,0.86364,0.57583,0.57583,0.5433,0.5433,2,3A,1,2023
Monroe,0.09091,0.50913,0.53237,0.5205,0.52295,2,3A,10,2023
Montello,0.2,0.43925,0.44816,0.47639,0.47309,4,2A,10,2023
Monticello,0.66667,0.37349,0.34432,0.47647,0.48092,5,4A,6,2023
Mosinee,0.57143,0.52332,0.49854,0.51563,0.52222,2,1B,4,2023
Mount Horeb,0.28571,0.53286,0.5396,0.5394,0.53814,2,3A,8,2023
Mukwonago,0.27273,0.53779,0.53779,0.51068,0.51068,1,4A,12,2023
Muskego,0.52174,0.57971,0.57971,0.52526,0.52526,1,4A,8,2023
Necedah,0.25,0.44375,0.46154,0.49477,0.49235,4,2A,8,2023
Neenah,0.95652,0.592,0.58683,0.55887,0.56605,1,1A,1,2023
Neillsville,1.0,0.57457,0.5387,0.55682,0.54995,4,1B,1,2023
Nekoosa,0.1,0.4451,0.44127,0.4805,0.47654,4,2A,12,2023
New Auburn,0.85714,0.40634,0.42951,0.49888,0.48927,5,1B,4,2023
New Berlin Eisenhower,0.6087,0.54436,0.54667,0.57089,0.56928,2,4B,4,2023
New Berlin West,0.66667,0.57867,0.55769,0.54763,0.54416,2,4B,3,2023
New Glarus,1.0,0.57471,0.54987,0.54457,0.5399,4,3B,1,2023
New Holstein,0.5,0.57179,0.57065,0.51016,0.50999,4,4A,10,2023
New Lisbon,0.26087,0.49573,0.49573,0.4726,0.4726,5,3A,14,2023
New London,0.9,0.43299,0.38509,0.51516,0.51642,2,1B,1,2023
New Richmond,0.5,0.52484,0.53177,0.53735,0.54033,2,1A,2,2023
Newman Catholic,0.5,0.52261,0.52632,0.52169,0.53179,5,2A,7,2023
Niagara,0.77273,0.47541,0.50177,0.52488,0.53356,5,2B,4,2023
Nicolet,0.14286,0.47812,0.44781,0.5028,0.49925,2,2B,8,2023
North Crawford,0.2381,0.39306,0.3642,0.46203,0.46038,5,3B,11,2023
North Fond du Lac,0.38095,0.4712,0.475,0.51144,0.51143,3,2B,9,2023
Northland Lutheran,0.5,0.41547,0.39144,0.4714,0.46541,5,2A,11,2023
Northland Pines,0.10526,0.56308,0.53465,0.50113,0.50289,3,2A,8,2023
Northwestern,0.73913,0.49051,0.49051,0.5028,0.5029,3,1A,5,2023
Northwood,0.25,0.48966,0.47584,0.49346,0.49448,5,1A,12,2023
Notre Dame,0.95455,0.58413,0.56667,0.54452,0.55057,2,2A,1,2023
Oak Creek,0.68182,0.60599,0.61345,0.5516,0.55268,1,4A,3,2023
Oakfield,0.77273,0.50802,0.4864,0.49848,0.50339,5,4B,2,2023
Oconomowoc,0.36364,0.52713,0.52316,0.53548,0.53646,1,3A,10,2023
Oconto,0.72727,0.48767,0.47384,0.50827,0.50613,4,2B,5,2023
Oconto Falls,0.27273,0.56135,0.54276,0.49797,0.49124,3,2A,7,2023
Omro,0.57143,0.4626,0.4626,0.53829,0.54074,3,3B,6,2023
Onalaska,0.5,0.52825,0.53754,0.5453,0.54706,2,1A,3,2023
Oneida Nation,0.26316,0.55449,0.57455,0.48408,0.49228,5,4B,12,2023
Oostburg,0.90909,0.57018,0.56812,0.54406,0.53735,3,2B,1,2023
Oregon,0.68182,0.59426,0.5586,0.55045,0.53946,1,3A,5,2023
Osceola,0.45455,0.55026,0.54596,0.52253,0.52609,3,1A,8,2023
Oshkosh North,0.36364,0.50301,0.50482,0.54605,0.55271,1,1A,14,2023
Oshkosh West,0.65217,0.49713,0.49695,0.5524,0.55835,1,1A,9,2023
Osseo-Fairchild,0.63636,0.54987,0.53191,0.5388,0.53939,4,1B,4,2023
Owen-Withee,0.35,0.53203,0.53405,0.52001,0.51243,5,1B,10,2023
Ozaukee,0.19048,0.55385,0.55978,0.51818,0.52047,4,4B,10,2023
Pacelli,0.5,0.51436,0.49448,0.49709,0.49323,5,2A,9,2023
Palmyra-Eagle,0.47368,0.48732,0.47436,0.47259,0.47298,5,4A,5,2023
Pardeeville,0.77273,0.47258,0.45161,0.51567,0.51768,4,4A,6,2023
Parkview,0.33333,0.45408,0.47561,0.46302,0.45658,4,3B,11,2023
Pecatonica,0.4,0.475,0.47962,0.47859,0.48409,5,4A,9,2023
Peshtigo,0.66667,0.52185,0.52778,0.50634,0.50766,3,2A,3,2023
Pewaukee,0.95455,0.62972,0.60542,0.56547,0.557,2,4B,1,2023
Phillips,0.90476,0.57403,0.56374,0.53727,0.53733,4,1A,1,2023
Pittsville,0.57143,0.43511,0.42202,0.48574,0.48617,5,3A,7,2023
Pius XI Catholic,0.86364,0.56161,0.54734,0.55675,0.56692,2,4A,1,2023
Platteville,0.7619,0.58636,0.5508,0.55758,0.55614,3,3A,3,2023
Plum City/Elmwood,0.28571,0.54593,0.50774,0.49503,0.50304,5,1B,12,2023
Plymouth,0.31818,0.55344,0.54907,0.52857,0.52489,2,2A,8,2023
Port Edwards,0.0,0.5,0.47423,0.4619,0.45401,5,2A,16,2023
Port Washington,0.33333,0.40426,0.4055,0.52531,0.52869,2,2B,6,2023
Portage,0.04762,0.49644,0.5188,0.51492,0.51524,2,3A,11,2023
Potosi/Cassville,0.4,0.4825,0.45658,0.49381,0.49367,5,3B,8,2023
Poynette,0.59091,0.51395,0.50129,0.54006,0.53955,4,3B,7,2023
Prairie Farm,1.0,0.55526,0.54248,0.50816,0.49599,5,1B,1,2023
Prairie du Chien,0.81818,0.6088,0.59326,0.5483,0.54513,3,3A,1,2023
Prentice,0.31818,0.52723,0.53646,0.51935,0.51869,5,2A,12,2023
Prescott,0.66667,0.58701,0.6087,0.53198,0.53323,3,1A,2,2023
Princeton/Green Lake,0.19048,0.52727,0.50621,0.4922,0.48939,4,2A,9,2023
Pulaski,0.18182,0.56325,0.55627,0.51315,0.51087,2,2A,10,2023
Racine Case,0.2381,0.55211,0.5479,0.49362,0.49534,1,4A,13,2023
Racine Horlick,0.04348,0.46798,0.45902,0.49083,0.49155,1,4A,17,2023
Racine Lutheran,0.54545,0.50611,0.50581,0.52001,0.52523,3,4B,2,2023
Racine Park,0.19048,0.50291,0.50932,0.48143,0.48322,2,3B,10,2023
Randolph,0.81818,0.63438,0.62178,0.54414,0.54682,4,4A,2,2023
Random Lake,0.59091,0.52772,0.50518,0.52555,0.53094,4,4B,3,2023
Reedsburg,0.82609,0.50108,0.48081,0.54771,0.54848,2,3A,3,2023
Reedsville,0.42857,0.50407,0.50407,0.52611,0.52611,5,4B,8,2023
Regis,0.45455,0.57377,0.58385,0.53623,0.53983,4,1B,6,2023
Rhinelander,0.40909,0.4752,0.47383,0.50673,0.50736,2,1B,8,2023
Rib Lake,0.15,0.54707,0.56286,0.51334,0.51862,5,2A,14,2023
Rice Lake,0.38095,0.54121,0.5514,0.52234,0.52208,2,1A,6,2023
Richland Center,0.14286,0.63781,0.63395,0.52045,0.52374,3,3A,12,2023
Rio,0.63636,0.43127,0.43807,0.50552,0.51711,5,4A,3,2023
Ripon,0.40909,0.5439,0.52442,0.53879,0.53437,3,3B,9,2023
River Falls,0.42105,0.53395,0.52475,0.54603,0.54474,2,1A,5,2023
River Ridge,0.66667,0.41902,0.40761,0.48863,0.49153,4,3A,4,2023
River Valley,0.36364,0.48894,0.49354,0.51637,0.51842,3,3A,9,2023
Riverdale,0.27273,0.48586,0.48415,0.49039,0.49015,4,3A,10,2023
Roncalli,0.18182,0.51499,0.51734,0.49665,0.49267,4,2B,11,2023
Rosholt,0.54545,0.4933,0.47592,0.49141,0.49145,5,2A,8,2023
Royall,0.8,0.47028,0.48185,0.50462,0.49744,5,3A,4,2023
Saint Anthony,0.1875,0.48438,0.48344,0.44479,0.44837,3,4B,12,2023
Saint Francis,0.5,0.475,0.47633,0.48435,0.48356,3,4B,4,2023
Saint Mary Catholic,0.95455,0.55727,0.54897,0.53985,0.53622,4,2A,1,2023
Saint Thomas Aquinas,0.0625,0.4918,0.51053,0.49453,0.48379,5,2B,14,2023
Saint Thomas More,0.54545,0.49118,0.49118,0.51857,0.51922,3,4B,3,2023
Salam,0.8,0.38376,0.4087,0.47346,0.45949,5,4B,3,2023
Sauk Prairie,0.68182,0.47534,0.45412,0.55251,0.54952,2,3A,5,2023
Seneca,0.19048,0.46729,0.46729,0.44676,0.44676,5,3B,13,2023
Sevastopol,0.95238,0.4715,0.43149,0.51768,0.51099,5,2B,2,2023
Seymour,0.22727,0.53134,0.53333,0.50031,0.50207,2,2A,9,2023
Shawano,0.47619,0.45939,0.45869,0.51122,0.5109,2,1B,5,2023
Sheboygan Christian,0.3,0.51852,0.51852,0.51681,0.51737,5,4B,11,2023
Sheboygan Falls,0.63636,0.4212,0.4212,0.5204,0.5204,3,2B,6,2023
Sheboygan Lutheran,0.77273,0.54634,0.52589,0.54291,0.54233,4,4A,4,2023
Sheboygan North,0.6087,0.5,0.5,0.54497,0.54497,1,2A,10,2023
Sheboygan South,0.08696,0.49462,0.49544,0.51377,0.50835,1,2A,17,2023
Shell Lake,0.45,0.47321,0.44521,0.48323,0.48601,5,1A,9,2023
Shiocton,0.47619,0.55956,0.60938,0.5254,0.53025,4,2B,6,2023
Shoreland Lutheran,0.22727,0.47643,0.47399,0.49743,0.50129,3,4B,9,2023
Shorewood,0.73913,0.45122,0.41803,0.53898,0.54267,2,4A,4,2023
Shullsburg,0.6087,0.48222,0.49386,0.49543,0.50109,5,3B,3,2023
Siren,0.7619,0.49871,0.4,0.50139,0.49756,5,1A,3,2023
Slinger,0.40909,0.59574,0.59574,0.53708,0.53842,2,2B,5,2023
Solon Springs,0.63636,0.4816,0.4816,0.502,0.50217,5,1A,4,2023
Somerset,0.72727,0.58355,0.56403,0.52838,0.52816,3,1A,1,2023
South Milwaukee,0.17391,0.57933,0.58378,0.51766,0.51973,2,4B,9,2023
South Shore,0.90909,0.45799,0.4466,0.5016,0.50668,5,1A,1,2023
Southern Door,0.54545,0.4422,0.4422,0.5065,0.5065,4,2B,8,2023
Southwestern,0.14286,0.53533,0.53314,0.49113,0.49573,5,3B,10,2023
Sparta,0.21739,0.5603,0.5603,0.51811,0.51811,2,1A,10,2023
Spencer,0.09524,0.56923,0.54785,0.50573,0.51595,4,1B,12,2023
Spooner,0.05263,0.4246,0.44156,0.47537,0.47605,3,1A,12,2023
Spring Valley,0.2381,0.47922,0.5047,0.50153,0.50562,4,1B,10,2023
St. Augustine Prep,0.6875,0.40249,0.48,0.45931,0.45362,3,4B,1,2023
St. Croix Central,0.31818,0.52577,0.52717,0.53403,0.53611,3,1A,11,2023
Stanley-Boyd,0.2,0.51077,0.55872,0.5168,0.52658,3,1B,8,2023
Stockbridge,0.2381,0.43641,0.40947,0.44464,0.44459,5,4B,13,2023
Stoughton,0.3913,0.56757,0.56757,0.53457,0.53457,2,3A,7,2023
Stratford,0.47619,0.56542,0.56848,0.53184,0.53151,4,2A,6,2023
Sturgeon Bay,0.09524,0.43804,0.44753,0.48101,0.47887,3,2A,11,2023
Sun Prairie East,0.38095,0.46179,0.46179,0.51874,0.51874,1,3A,13,2023
Sun Prairie West,0.80952,0.55247,0.54305,0.533,0.52669,1,3A,4,2023
Superior,0.95238,0.53687,0.53865,0.51388,0.52044,1,1A,2,2023
Suring,0.54545,0.59259,0.59259,0.51171,0.51171,5,2B,7,2023
The Prairie School,0.86364,0.5338,0.5356,0.53855,0.54019,4,4B,1,2023
Thorp,0.09091,0.55977,0.54348,0.51016,0.51032,5,1B,14,2023
Three Lakes,0.61905,0.54958,0.54958,0.52141,0.52213,5,2B,5,2023
Tigerton,0.06667,0.41288,0.40265,0.45717,0.44508,5,2A,15,2023
Tomah,0.43478,0.52088,0.52296,0.52834,0.52879,2,1A,7,2023
Tomahawk,0.22727,0.40782,0.42547,0.47409,0.47125,3,2A,9,2023
Tri-County,0.29412,0.42593,0.396,0.45136,0.44795,5,2A,13,2023
Turner,0.36364,0.49062,0.49062,0.48933,0.48891,3,3A,10,2023
Turtle Lake,0.80952,0.50737,0.51525,0.51087,0.50106,5,1B,3,2023
Two Rivers,0.13636,0.49138,0.49138,0.49284,0.4926,3,2B,11,2023
Union Grove,0.95238,0.60382,0.58239,0.52937,0.52228,2,3B,1,2023
Unity,0.47619,0.53186,0.55031,0.50594,0.4997,4,1A,6,2023
University Lake School Co-op,0.42857,0.45402,0.45402,0.4517,0.44785,3,3B,10,2023
University School of Milwaukee,0.77273,0.50279,0.50888,0.52382,0.52048,3,4A,2,2023
Valders,0.5,0.50681,0.52744,0.50783,0.51068,4,4A,9,2023
Verona,0.90476,0.56609,0.53214,0.53404,0.51999,1,3A,3,2023
Viroqua,0.22727,0.39558,0.40437,0.49176,0.49543,3,1B,9,2023
Wabeno/Laona,0.72727,0.63319,0.59605,0.5271,0.52642,5,2B,1,2023
Washburn,0.3,0.48819,0.48819,0.48583,0.48511,5,1A,11,2023
Waterford,0.40909,0.44878,0.4375,0.50944,0.5072,2,3B,7,2023
Waterloo,0.3913,0.51225,0.51225,0.52016,0.52016,4,3B,9,2023
Watertown,0.65217,0.53799,0.53378,0.53335,0.53912,2,2B,3,2023
Watertown Luther Prep,0.2,0.63415,0.63415,0.53306,0.53306,3,3B,11,2023
Waukesha North,0.18182,0.49487,0.50543,0.50878,0.50565,2,3B,11,2023
Waukesha West,0.90476,0.55412,0.55685,0.54808,0.56446,2,3B,2,2023
Waunakee,0.56522,0.55031,0.54157,0.52831,0.52644,1,3A,6,2023
Waupaca,0.09091,0.50289,0.51656,0.49634,0.49626,2,1B,11,2023
Waupun,0.73913,0.63073,0.60753,0.57707,0.58166,3,3B,2,2023
Wausau East,0.18182,0.51507,0.50779,0.49363,0.49223,2,1B,10,2023
Wausau West,0.66667,0.54087,0.59026,0.55698,0.55587,1,1A,7,2023
Wausaukee,0.35,0.50658,0.48936,0.50501,0.49205,5,2B,9,2023
Wautoma,0.68182,0.41685,0.39535,0.51917,0.51514,3,3B,5,2023
Wauwatosa East,0.52381,0.5755,0.55623,0.55006,0.54919,2,4A,3,2023
Wauwatosa West,0.45455,0.51014,0.51014,0.55318,0.55318,2,4A,6,2023
Wauzeka-Steuben,0.61905,0.43052,0.43519,0.47,0.47189,5,3B,4,2023
Wayland Academy,0.42105,0.54094,0.53684,0.46986,0.46658,5,4A,7,2023
Webster,0.2381,0.45373,0.4898,0.48477,0.48825,4,1A,10,2023
West Allis Central,0.21739,0.45556,0.44477,0.50705,0.51146,1,3A,17,2023
West Allis Hale,0.22727,0.48256,0.48256,0.54376,0.54376,1,3A,16,2023
West Bend East,0.18182,0.56269,0.56269,0.52881,0.52881,2,2B,7,2023
West Bend West,0.14286,0.48852,0.48852,0.51212,0.51212,2,2B,10,2023
West De Pere,0.77273,0.49087,0.47312,0.53352,0.53987,2,2A,3,2023
West Salem,0.90909,0.54442,0.51139,0.53348,0.5328,3,1B,2,2023
Westby,0.81818,0.48292,0.47989,0.52209,0.52327,4,3A,3,2023
Westfield,0.95652,0.53015,0.5024,0.53742,0.53574,4,2A,2,2023
Weston,0.14286,0.42598,0.41234,0.45136,0.44878,5,3B,14,2023
Westosha Central,0.31818,0.5589,0.5809,0.5058,0.50641,2,3B,6,2023
Weyauwega-Fremont,0.2,0.49682,0.49829,0.50107,0.49574,4,2A,11,2023
Whitefish Bay,0.59091,0.43827,0.43827,0.5296,0.5296,2,4A,5,2023
Whitehall,0.42857,0.47929,0.47368,0.50693,0.50755,4,1B,9,2023
Whitewater,0.22727,0.48844,0.48457,0.50367,0.50349,3,4B,10,2023
Whitnall,0.57143,0.47564,0.46177,0.52262,0.51518,2,4B,6,2023
Wild Rose,0.66667,0.49761,0.5,0.48152,0.48559,5,4B,4,2023
Williams Bay,0.2381,0.49438,0.50746,0.4529,0.4516,4,4B,9,2023
Wilmot,0.27273,0.54887,0.56383,0.49771,0.4964,2,3B,8,2023
Winnebago Lutheran,0.85714,0.49608,0.47507,0.53824,0.53539,4,4A,3,2023
Winneconne,0.45455,0.54188,0.5462,0.52344,0.52523,3,3B,7,2023
Winter,0.47619,0.51744,0.53247,0.48507,0.47436,5,1A,7,2023
Wisconsin Dells,0.57143,0.57975,0.55764,0.5147,0.51567,3,1B,4,2023
Wisconsin Heights,0.22222,0.50926,0.50165,0.51258,0.5111,4,3B,12,2023
Wisconsin Lutheran,0.65217,0.55808,0.6108,0.53121,0.52859,2,4A,2,2023
Wittenberg-Birnamwood,0.85714,0.56658,0.53312,0.53269,0.52217,4,2A,3,2023
Wonewoc-Center,0.52632,0.49722,0.47619,0.47919,0.47624,5,3A,8,2023
Wrightstown,0.68182,0.49857,0.46405,0.52399,0.52463,3,2A,2,2023
Xavier,0.34783,0.65668,0.65641,0.53086,0.53127,3,2A,4,2023
